Epochs,loss
1,1083.5308
2,1081.3488
3,1079.2694
4,1076.9426
5,1074.8488
6,1072.937
7,1071.0529
8,1069.0707
9,1066.9192
10,1064.615
11,1062.2135
12,1059.7023
13,1057.1167
14,1054.4905
15,1051.8685
16,1049.3446
17,1046.9594
18,1044.7605
19,1042.6893
20,1040.6183
21,1038.5176
22,1036.3593
23,1034.1157
24,1031.8508
25,1029.6227
26,1027.4698
27,1025.4034
28,1023.36523
29,1021.3287
30,1019.28217
31,1017.22015
32,1015.25024
33,1013.2181
34,1011.17535
35,1009.27747
36,1007.4421
37,1005.58594
38,1003.67737
39,1001.8195
40,1000.0264
41,998.2707
42,996.5346
43,994.7947
44,993.04767
45,991.3867
46,989.74286
47,988.1094
48,986.48486
49,984.8687
50,983.26184
51,981.6599
52,980.06195
53,978.4698
54,976.89026
55,975.33374
56,973.7884
57,972.24963
58,970.71796
59,969.19324
60,967.67523
61,966.16455
62,964.6611
63,963.16547
64,961.678
65,960.19855
66,958.7269
67,957.2635
68,955.8081
69,954.36035
70,952.91943
71,951.48456
72,950.05646
73,948.63666
74,947.2238
75,945.8179
76,944.4175
77,943.0222
78,941.63446
79,940.249
80,938.8695
81,937.49304
82,936.1132
83,934.7329
84,933.3567
85,931.97766
86,930.59814
87,929.2214
88,927.847
89,926.4742
90,925.10406
91,923.73193
92,922.363
93,921.0112
94,919.6559
95,918.3055
96,916.9655
97,915.6182
98,914.25964
99,912.9349
100,911.57574
101,910.2132
102,908.8882
103,907.5298
104,906.1802
105,904.83636
106,903.4938
107,902.1474
108,900.7968
109,899.4501
110,898.13947
111,896.7843
112,895.4439
113,894.0936
114,892.7027
115,891.3145
116,889.94995
117,888.58954
118,887.1852
119,885.7586
120,884.2989
121,882.8594
122,881.44165
123,879.94574
124,878.3313
125,876.71295
126,875.03766
127,873.4693
128,872.0065
129,870.56616
130,869.1177
131,867.6154
132,866.16437
133,864.7042
134,863.2438
135,861.8258
136,860.3609
137,858.9612
138,857.56665
139,856.1092
140,854.694
141,853.2738
142,851.8646
143,850.46277
144,849.079
145,847.716
146,846.3521
147,844.94684
148,843.49054
149,842.0628
150,840.7313
151,839.06024
152,837.5308
153,835.8316
154,834.27515
155,832.7271
156,831.1931
157,829.7858
158,828.3919
159,827.03094
160,825.6669
161,824.381
162,823.01263
163,821.6266
164,820.2436
165,818.9485
166,817.60046
167,816.1913
168,814.81287
169,813.415
170,812.10114
171,810.7532
172,809.381
173,808.068
174,806.75146
175,805.4115
176,804.12244
177,802.7984
178,801.5188
179,800.26227
180,798.9566
181,797.63434
182,796.38293
183,795.14386
184,793.9079
185,792.627
186,791.3672
187,790.13153
188,788.91205
189,787.7082
190,786.5097
191,785.29565
192,784.10956
193,782.9586
194,781.7734
195,780.5978
196,779.4292
197,778.2622
198,777.0922
199,775.9269
200,774.76135
201,773.54755
202,772.3167
203,771.01416
204,769.8021
205,768.5113
206,767.3258
207,766.10565
208,764.9182
209,763.74976
210,762.56616
211,761.39453
212,760.23517
213,759.09625
214,757.95325
215,756.81366
216,755.68317
217,754.55634
218,753.44116
219,752.32434
220,751.2482
221,750.1503
222,749.0308
223,747.9302
224,746.8579
225,745.7391
226,744.6693
227,743.59845
228,742.52783
229,741.4691
230,740.4163
231,739.31744
232,738.23914
233,737.1823
234,735.9566
235,734.546
236,732.9877
237,731.6114
238,730.4396
239,729.4389
240,728.2743
241,727.2173
242,726.08844
243,725.05035
244,723.9683
245,722.8926
246,721.8851
247,720.7999
248,719.7627
249,718.7148
250,717.69244
251,716.66223
252,715.65094
253,714.6512
254,713.63745
255,712.63245
256,711.61316
257,710.6377
258,709.65753
259,708.6806
260,707.67523
261,706.6992
262,705.7312
263,704.76624
264,703.8017
265,702.92267
266,701.93414
267,700.9685
268,700.08057
269,699.13245
270,698.1548
271,697.2667
272,696.3228
273,695.4288
274,694.48
275,693.58356
276,692.6766
277,691.85895
278,690.9566
279,689.9892
280,689.0983
281,688.2143
282,687.33154
283,686.4523
284,685.577
285,684.7076
286,683.8388
287,682.9753
288,682.1192
289,681.26044
290,680.4072
291,679.5576
292,678.7041
293,677.85333
294,677.02496
295,676.176
296,675.3436
297,674.51306
298,673.6851
299,672.8545
300,672.0394
301,671.21735
302,670.40735
303,669.58826
304,668.7769
305,667.9611
306,667.16064
307,666.3572
308,665.55817
309,664.7685
310,663.9939
311,663.1983
312,662.3889
313,661.5863
314,660.8038
315,660.02136
316,659.2288
317,658.45685
318,657.68854
319,656.8898
320,656.28107
321,655.4007
322,654.537
323,653.83
324,653.0936
325,652.2807
326,651.52734
327,650.8595
328,650.1255
329,649.2062
330,648.71027
331,647.738
332,647.03265
333,646.2045
334,645.70154
335,644.78845
336,644.0377
337,643.19037
338,642.564
339,641.709
340,640.9061
341,639.99896
342,639.2192
343,638.4333
344,637.68396
345,636.9693
346,636.15094
347,635.4328
348,634.6417
349,633.93384
350,633.14026
351,632.40607
352,631.63495
353,630.8927
354,630.03406
355,629.1891
356,628.3748
357,627.5635
358,626.64703
359,630.88934
360,636.27203
361,639.4704
362,640.389
363,639.3777
364,637.3733
365,635.3027
366,633.5632
367,632.16315
368,630.86096
369,629.4327
370,628.1763
371,627.0142
372,625.9157
373,624.92285
374,623.91235
375,622.8443
376,621.8641
377,620.9052
378,619.95105
379,619.0561
380,618.17755
381,617.33997
382,616.41455
383,615.5257
384,614.66693
385,613.8225
386,613.0484
387,612.2193
388,611.3951
389,610.5805
390,609.77277
391,608.98456
392,608.24744
393,607.50024
394,606.6865
395,605.8199
396,605.1589
397,604.4384
398,603.7292
399,603.02545
400,602.3123
401,601.6208
402,600.92145
403,600.2316
404,599.5539
405,598.8638
406,598.172
407,597.4635
408,596.805
409,596.1601
410,595.5066
411,594.8521
412,594.20374
413,593.55054
414,592.89233
415,592.2432
416,591.6176
417,591.00134
418,590.3591
419,589.73627
420,589.10925
421,588.4835
422,587.8657
423,587.24866
424,586.6451
425,586.05414
426,585.4584
427,584.83167
428,584.2182
429,583.6324
430,583.0423
431,582.4605
432,581.87476
433,581.2839
434,580.6946
435,580.0978
436,579.4927
437,578.90204
438,578.346
439,577.78766
440,577.17664
441,576.62964
442,576.03625
443,575.46783
444,574.9054
445,574.33374
446,573.76843
447,573.24786
448,573.1558
449,572.56696
450,571.7678
451,571.11707
452,570.5488
453,570.05316
454,569.553
455,568.9901
456,568.37726
457,567.799
458,567.2545
459,566.6938
460,566.1615
461,565.9622
462,565.1023
463,564.51154
464,563.9441
465,563.4104
466,562.87506
467,562.3526
468,561.8161
469,561.29047
470,560.7508
471,560.2193
472,559.67847
473,559.13196
474,558.60126
475,558.0777
476,557.5467
477,557.01886
478,556.4994
479,555.97687
480,555.4499
481,554.92346
482,554.40857
483,553.8951
484,553.3814
485,552.87067
486,552.35406
487,551.84033
488,551.329
489,550.8188
490,550.3111
491,549.80585
492,549.2994
493,548.79504
494,548.2927
495,547.79333
496,547.2933
497,546.7933
498,546.2895
499,545.7995
500,545.29395
