Epochs,loss
1,1085.1448
2,1082.5321
3,1080.3274
4,1078.2897
5,1076.1396
6,1074.1938
7,1072.4456
8,1070.7921
9,1069.1924
10,1067.5968
11,1065.9385
12,1064.3525
13,1062.7837
14,1061.2651
15,1059.7819
16,1058.313
17,1056.8195
18,1055.2991
19,1053.7792
20,1052.2805
21,1050.7991
22,1049.3293
23,1047.8575
24,1046.3854
25,1044.905
26,1043.4113
27,1041.8969
28,1040.3844
29,1038.8728
30,1037.3611
31,1035.8395
32,1034.2987
33,1032.7205
34,1031.1227
35,1029.5288
36,1027.9623
37,1026.4142
38,1024.7427
39,1023.0146
40,1021.3055
41,1019.653
42,1018.03973
43,1016.44977
44,1014.875
45,1013.31146
46,1011.7564
47,1010.209
48,1008.6682
49,1007.1349
50,1005.60754
51,1004.08746
52,1002.57367
53,1001.0672
54,999.5677
55,998.075
56,996.5901
57,995.11304
58,993.6436
59,992.1819
60,990.7285
61,989.28345
62,987.8466
63,986.41833
64,984.99884
65,983.58826
66,982.1868
67,980.7941
68,979.4105
69,978.0367
70,976.67175
71,975.3169
72,973.9715
73,972.63544
74,971.30963
75,969.9937
76,968.688
77,967.39215
78,966.1066
79,964.8309
80,963.56586
81,962.3111
82,961.06683
83,959.8329
84,958.6095
85,957.39636
86,956.19403
87,955.0025
88,953.8216
89,952.651
90,951.4914
91,950.34235
92,949.2042
93,948.0765
94,946.9596
95,945.85345
96,944.7579
97,943.6729
98,942.59906
99,941.5356
100,940.48254
101,939.4402
102,938.40814
103,937.387
104,936.3762
105,935.3758
106,934.3862
107,933.40656
108,932.4369
109,931.47784
110,930.52893
111,929.59033
112,928.6616
113,927.74286
114,926.83417
115,925.9351
116,925.04645
117,924.1669
118,923.2974
119,922.4373
120,921.5865
121,920.74567
122,919.91376
123,919.0915
124,918.2783
125,917.47424
126,916.67926
127,915.8934
128,915.11633
129,914.3481
130,913.58844
131,912.8378
132,912.0953
133,911.3615
134,910.63635
135,909.9193
136,909.2105
137,908.50995
138,907.81757
139,907.13293
140,906.45636
141,905.7877
142,905.1271
143,904.47394
144,903.828
145,903.1902
146,902.55963
147,901.9364
148,901.3207
149,900.712
150,900.1106
151,899.5163
152,898.92865
153,898.3482
154,897.77484
155,897.20795
156,896.64777
157,896.0944
158,895.5476
159,895.007
160,894.47314
161,893.94574
162,893.42456
163,892.90955
164,892.4008
165,891.8978
166,891.4012
167,890.9105
168,890.4254
169,889.94684
170,889.4732
171,889.006
172,888.5442
173,888.0878
174,887.6369
175,887.1916
176,886.7519
177,886.3173
178,885.88824
179,885.4643
180,885.0455
181,884.6317
182,884.2234
183,883.81976
184,883.42096
185,883.0275
186,882.63885
187,882.25446
188,881.87537
189,881.50085
190,881.1308
191,880.7656
192,880.40485
193,880.04834
194,879.69684
195,879.34937
196,879.00616
197,878.6674
198,878.33295
199,878.0026
200,877.67645
201,877.3545
202,877.03674
203,876.723
204,876.41296
205,876.107
206,875.80493
207,875.5068
208,875.2121
209,874.8417
210,874.5219
211,874.2193
212,873.92206
213,873.6265
214,873.33356
215,873.0424
216,872.75476
217,872.4704
218,872.1884
219,871.91046
220,871.6356
221,871.3638
222,871.095
223,870.8304
224,870.56824
225,870.3091
226,870.05286
227,869.7993
228,869.5475
229,869.2976
230,869.0492
231,868.80475
232,868.5741
233,868.35004
234,868.1094
235,867.8814
236,867.66174
237,867.4437
238,867.22687
239,867.0122
240,866.7978
241,866.5852
242,866.38043
243,866.18097
244,865.97864
245,865.7797
246,865.58624
247,865.3942
248,865.20276
249,865.0138
250,864.83057
251,864.6495
252,864.4679
253,864.2897
254,864.11615
255,863.94354
256,863.77264
257,863.6047
258,863.4396
259,863.2751
260,863.1138
261,862.9552
262,862.7984
263,862.6432
264,862.4908
265,862.3401
266,862.19104
267,862.0448
268,861.90063
269,861.7576
270,861.6172
271,861.4787
272,861.3416
273,861.2066
274,861.07367
275,860.9422
276,860.81274
277,860.6851
278,860.55896
279,860.4346
280,860.3119
281,860.1909
282,860.07166
283,859.95386
284,859.8376
285,859.7231
286,859.6101
287,859.4984
288,859.3884
289,859.27985
290,859.17285
291,859.06744
292,858.9628
293,858.8601
294,858.7586
295,858.65826
296,858.55963
297,858.462
298,858.3659
299,858.2707
300,858.1773
301,858.0845
302,857.99335
303,857.90326
304,857.81396
305,857.7263
306,857.6396
307,857.5539
308,857.46936
309,857.3861
310,857.30334
311,857.22186
312,857.14154
313,857.06213
314,856.9832
315,856.9058
316,856.8291
317,856.7535
318,856.6784
319,856.6047
320,856.5314
321,856.459
322,856.3872
323,856.31635
324,856.2465
325,856.1771
326,856.10834
327,856.0405
328,855.97327
329,855.9068
330,855.8408
331,855.7753
332,855.7105
333,855.64624
334,855.5826
335,855.51965
336,855.4565
337,855.39417
338,855.33264
339,855.27106
340,855.21
341,855.14905
342,855.08887
343,855.02856
344,854.9683
345,854.909
346,854.84906
347,854.78955
348,854.7299
349,854.6705
350,854.61053
351,854.551
352,854.49115
353,854.43115
354,854.3703
355,854.3095
356,854.24805
357,854.1859
358,854.12274
359,854.05896
360,853.9936
361,853.9272
362,853.8593
363,853.78925
364,853.71735
365,853.6423
366,853.5641
367,853.482
368,853.3949
369,853.3022
370,853.20105
371,853.0909
372,852.9688
373,852.83374
374,852.69293
375,852.59485
376,852.62164
377,852.42017
378,852.2615
379,852.14496
380,852.02563
381,851.88715
382,851.7223
383,851.52936
384,851.32556
385,851.20953
386,851.0303
387,850.7945
388,850.689
389,850.46875
390,850.1519
391,849.81067
392,849.6109
393,849.48016
394,849.16766
395,848.9532
396,848.6616
397,848.3867
398,848.29285
399,848.04877
400,847.72253
401,847.52527
402,847.389
403,847.22394
404,847.1226
405,846.8611
406,846.5991
407,846.415
408,846.16833
409,845.9396
410,845.69055
411,845.40436
412,845.1201
413,844.9262
414,844.70447
415,844.36774
416,844.09784
417,843.9787
418,843.8561
419,843.6046
420,843.3579
421,843.1543
422,842.9616
